n_min,n_max,alpha,use_data_cleaning,enable_cjk_tuning,cjk_n_min,cjk_n_max,cjk_alpha,ko_alpha,num_examples,top1_acc,top3_acc,top3_cjk_macro,top3_zh,top3_ja,top3_ko,train_time_sec,eval_time_sec
2,4,0.5,True,False,1,3,1.5,,99757,0.6535380975771123,0.799703278967892,0.8288219101891995,0.9055572426358943,0.8442458324964852,0.7366626554352186,96.4948987759999,20.381751516999884
2,4,1.0,True,False,1,3,1.5,,99757,0.6534579027035696,0.7994927674248423,0.8288219101891995,0.9055572426358943,0.8442458324964852,0.7366626554352186,96.94675813000003,21.236718071999803
2,5,0.05,True,False,1,3,1.5,,99757,0.6969535972412964,0.8175466383311447,0.8494061415910679,0.9311671221783582,0.8739706768427395,0.7430806257521059,136.23757190200013,23.038197639000146
2,5,0.1,True,False,1,3,1.5,,99757,0.6969335485229107,0.8175466383311447,0.8494061415910679,0.9311671221783582,0.8739706768427395,0.7430806257521059,138.5110777309999,24.470560491000015
2,5,0.2,True,False,1,3,1.5,,99757,0.6969034754453322,0.8175065408943734,0.8494061415910679,0.9311671221783582,0.8739706768427395,0.7430806257521059,137.9669267710001,22.837767255000017
2,5,0.3,True,False,1,3,1.5,,99757,0.6968834267269465,0.817466443457602,0.8494061415910679,0.9311671221783582,0.8739706768427395,0.7430806257521059,140.01149856200004,22.848374025
2,5,0.5,True,False,1,3,1.5,,99757,0.6967330613390539,0.8173762242248664,0.8494061415910679,0.9311671221783582,0.8739706768427395,0.7430806257521059,141.4877263620001,22.86111199700008
2,5,1.0,True,False,1,3,1.5,,99757,0.6965626472327756,0.8171256152450455,0.8494061415910679,0.9311671221783582,0.8739706768427395,0.7430806257521059,139.51761978299987,22.97106440799962
2,6,0.05,True,False,1,3,1.5,,99757,0.724921559389316,0.8263380013432642,0.8571590415997047,0.9389614333434558,0.8890339425587467,0.7434817488969113,190.46464239099987,25.70682340500025
2,6,0.1,True,False,1,3,1.5,,99757,0.7248914863117375,0.8262979039064928,0.8571590415997047,0.9389614333434558,0.8890339425587467,0.7434817488969113,189.72921910600007,25.90177424500007
2,6,0.2,True,False,1,3,1.5,,99757,0.7248213157973876,0.8262076846737573,0.8571590415997047,0.9389614333434558,0.8890339425587467,0.7434817488969113,190.25662095999996,25.796646796999994
2,6,0.3,True,False,1,3,1.5,,99757,0.7247110478462664,0.826097416722636,0.8571590415997047,0.9389614333434558,0.8890339425587467,0.7434817488969113,191.18266230999996,25.926167993000035
2,6,0.5,True,False,1,3,1.5,,99757,0.7246408773319165,0.8259871487715148,0.8571590415997047,0.9389614333434558,0.8890339425587467,0.7434817488969113,193.4701758860001,25.7656741159999
2,6,1.0,True,False,1,3,1.5,,99757,0.72437021963371,0.825726515432501,0.8571590415997047,0.9389614333434558,0.8890339425587467,0.7434817488969113,188.35738858099967,25.918562963000113
2,7,0.05,True,False,1,3,1.5,,99757,0.7460629329270126,0.8298164539831792,0.8602126637896544,0.9417957283125823,0.8953605141594698,0.7434817488969113,247.73668299600013,29.869787065999844
2,7,0.1,True,False,1,3,1.5,,99757,0.7459827380534699,0.8297262347504436,0.8602126637896544,0.9417957283125823,0.8953605141594698,0.7434817488969113,253.69537360899994,29.73470855799951
2,7,0.2,True,False,1,3,1.5,,99757,0.7459025431799272,0.8296259911585152,0.8602126637896544,0.9417957283125823,0.8953605141594698,0.7434817488969113,248.01097768,29.655013222999514
2,7,0.3,True,False,1,3,1.5,,99757,0.7457822508696131,0.8295257475665868,0.8602126637896544,0.9417957283125823,0.8953605141594698,0.7434817488969113,253.16517316300008,29.83372395000015
2,7,0.5,True,False,1,3,1.5,,99757,0.7456118367633349,0.8293753821786942,0.8602461377134678,0.9417957283125823,0.8954609359309098,0.7434817488969113,246.82218652400024,29.82260840700019
2,7,1.0,True,False,1,3,1.5,,99757,0.7452008380364286,0.8289643834517878,0.860212710784734,0.9417957283125823,0.8954609359309098,0.74338146811071,248.44890106000003,29.440129864000482
